#This is the fibers geometry file for AESOP
#This file was first written at: Tue Apr  5 16:30:01 CEST 2016
#Original filename: /home/tdwelly/4most/OpSim/inputs_to_system_model/AESOP/info_2016-04-05/aesop-cfg.json
#This file contains one entry per Fiber/Positioner, and gives the coordinates and details of each fiber
#Other info:
#Pitch is 9.542mm between fibres
#Fibe size is 0.085, so 1.43 asec
#Plate scale is 0.0594 mm/asec
#FoV is 535mm = 2.502 degrees diameter
#Rad curve 4,653 mm
#Patrol requirement is 11.5mm, but in practice they expect 12.3mm +/- 0.5 (so 11.8-12.8mm)
#Description of columns:
#Index  Name        Format    Description
#-----  ----------- --------- --------------------------------------------------------------------------------
#1      id          integer   Fiber identification number
#2      x0_mm       float     offset of the fiber base position from the FoV centre in the x-direction (mm)
#3      y0_mm       float     offset of the fiber base position from the FoV centre in the x-direction (mm)
#4      res         integer   code giving the resolution code of the fiber (1=low res, 2=high res)
#5      sector      integer   ID of the sky fiber allocation sector that this fiber lies within
#6      EdgeFlag    integer   Flag set if the fiber is at edge of field (0=middle;1=border;2=edge;3=corner)
#7      Spectro     string    HR, LR-A, LR-B
#8      Slitlet     integer   Slitlet within spectrograph
#9      Slitpos     integer   Slitpos within slitlet
#-----  ----------- --------- --------------------------------------------------------------------------------
id            x0_mm     y0_mm       res      sector  EdgeFlag  Spectro  Slitlet  Slitpos
287         -162.3913    -2.3854    1       -1       -1    LR-B         9        7
288         -162.3911     7.1563    2       -1       -1      HR         9        7
289         -162.3903    16.6980    1       -1       -1    LR-A         9        6
290         -162.3887    26.2397    1       -1       -1    LR-B         9        6
291         -162.3864    35.7812    2       -1       -1      HR         9        6
292         -162.3834    45.3225    1       -1       -1    LR-A         9        5
293         -162.3797    54.8637    1       -1       -1    LR-B         9        5
294         -162.3753    64.4047    2       -1       -1      HR         9        5
295         -162.3702    73.9453    1       -1       -1    LR-A         9        4
296         -162.3644    83.4856    1       -1       -1    LR-B         9        4
297         -162.3579    93.0256    2       -1       -1      HR         9        4
298         -162.3507   102.5652    1       -1       -1    LR-A         9        3
299         -162.3428   112.1043    1       -1       -1    LR-B         9        3
300         -162.3342   121.6430    2       -1       -1      HR         9        3
301         -162.3249   131.1811    1       -1       -1    LR-A         9        2
302         -162.3149   140.7186    1       -1       -1    LR-B         9        2
303         -162.3042   150.2556    2       -1       -1      HR         9        2
304         -162.2928   159.7919    1       -1       -1    LR-A         9        1
305         -162.2806   169.3275    1       -1       -1    LR-B         9        1
306         -162.2678   178.8623    2       -1       -1      HR         9        1
307         -153.9496  -178.8623    2       -1       -1      HR        10       13
308         -153.9618  -169.3275    1       -1       -1    LR-A        10       13
309         -153.9733  -159.7919    1       -1       -1    LR-B        10       13
310         -153.9841  -150.2556    2       -1       -1      HR        10       12
311         -153.9943  -140.7186    1       -1       -1    LR-A        10       12
312         -154.0038  -131.1811    1       -1       -1    LR-B        10       12
313         -154.0126  -121.6430    2       -1       -1      HR        10       11
314         -154.0208  -112.1043    1       -1       -1    LR-A        10       11
315         -154.0283  -102.5652    1       -1       -1    LR-B        10       11
316         -154.0351   -93.0256    2       -1       -1      HR        10       10
317         -154.0413   -83.4856    1       -1       -1    LR-A        10       10
318         -154.0468   -73.9453    1       -1       -1    LR-B        10       10
319         -154.0516   -64.4047    2       -1       -1      HR        10        9
320         -154.0558   -54.8637    1       -1       -1    LR-A        10        9
321         -154.0593   -45.3225    1       -1       -1    LR-B        10        9
322         -154.0621   -35.7812    2       -1       -1      HR        10        8
323         -154.0643   -26.2397    1       -1       -1    LR-A        10        8
324         -154.0658   -16.6980    1       -1       -1    LR-B        10        8
325         -154.0666    -7.1563    2       -1       -1      HR        10        7
326         -154.0668     2.3854    1       -1       -1    LR-A        10        7
327         -154.0663    11.9272    1       -1       -1    LR-B        10        7
328         -154.0651    21.4688    2       -1       -1      HR        10        6
329         -154.0633    31.0104    1       -1       -1    LR-A        10        6
330         -154.0608    40.5519    1       -1       -1    LR-B        10        6
331         -154.0576    50.0932    2       -1       -1      HR        10        5
